fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
587,386,6336.995394229889
587,377,5891.5610456466675
587,387,6353.683543682098
585,379,5971.769403934479
585,381,6038.487174034119
587,386,6295.118342399597
583,379,5945.756744623184
587,391,6510.378942489624
587,380,6040.27138876915
587,387,6354.808745384216
587,371,5681.504642248154
587,376,5923.396013975143
587,384,6261.354897260666
587,381,6107.4049389362335
585,382,6073.18786740303
585,385,6215.342859983444
587,383,6161.16520524025
587,377,5881.615184307098
585,382,6077.740177154541
583,375,5771.3212349414825
587,384,6222.406488895416
587,385,6285.976054906845
587,380,6046.317653179169
587,390,6450.321544647217
587,384,6233.633082866669
585,387,6270.646767139435
587,381,6145.751438379288
587,381,6163.685590982437
585,376,5854.853856086731
575,377,5678.434906959534
579,382,5986.103455781937
587,381,6061.42051243782
585,387,6324.558308124542
587,387,6357.171246051788
587,384,6227.319993257523
587,387,6291.370853424072
587,384,6233.673217058182
587,384,6276.746369123459
587,386,6293.353311061859
587,388,6388.7568600177765
587,379,6030.099791526794
585,381,6069.356199026108
585,384,6163.618352890015
585,384,6166.152565479279
587,378,5935.8967661857605
587,379,6048.353119850159
585,380,6015.041733503342
587,384,6221.770085096359
587,383,6155.66764998436
587,392,6540.4234623909
587,378,5998.0594754219055
587,387,6360.1670358181
587,386,6278.067020654678
587,381,6076.858927965164
587,392,6531.921431541443
587,388,6378.619523763657
587,381,6119.166129112244
581,377,5820.879305362701
587,376,5884.620009183884
587,384,6201.309814214706
585,378,5929.882077217102
587,383,6190.140841960907
587,383,6137.310226917267
587,381,6103.170157432556
587,381,6046.481910228729
587,388,6369.114809989929
587,384,6220.926080465317
587,386,6322.449063062668
587,380,6056.281681060791
587,391,6522.528302669525
587,384,6215.867648601532
587,391,6527.027710914612
585,386,6257.464336872101
587,384,6211.034066438675
585,381,6059.582035541534
587,383,6182.1574857234955
587,386,6341.074189424515
587,383,6192.31901216507
587,388,6399.42601275444
587,385,6236.867347955704
587,384,6209.8797788619995
585,380,6024.968548536301
585,381,6042.917099952698
587,381,6088.044984817505
587,378,6003.04484295845
587,381,6127.717866182327
587,383,6217.136231422424
583,376,5778.926411628723
587,383,6140.0024201869965
583,376,5780.843612194061
587,379,6048.682412862778
583,386,6245.830889940262
587,388,6380.012655735016
587,389,6440.312015533447
587,382,6145.316180706024
587,382,6121.15375995636
587,382,5083.719778060913
585,382,5019.021878480911
587,386,5236.422335386276
585,379,4894.519616365433
