fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
969,631,75748.6037003994
971,644,80459.40864372253
969,641,79067.4251832962
971,635,78160.90615653992
967,635,76721.52332234383
971,637,78267.65972566605
971,642,79892.85127091408
969,628,74605.27482533455
971,638,79513.11884689331
971,645,80837.00698423386
969,637,77778.51532959938
971,635,77531.52113437653
971,646,80869.81877970695
969,629,74329.8454875946
971,645,80756.93501639366
971,632,75564.72383594513
967,642,79092.11642241478
971,637,79012.5852022171
971,637,78019.63487291336
971,640,78821.62953257561
971,646,81377.36650276184
971,639,79291.72883272171
967,637,76862.71751308441
969,641,78328.2477324009
969,637,77687.23890805244
971,631,74961.38556575775
969,639,78636.96548557281
971,636,76941.41067433357
969,633,76213.69906234741
971,640,78627.50792908669
969,641,79022.78680086136
971,642,79968.2767932415
969,638,78155.756244421
971,640,79690.10059976578
969,641,79435.97161316872
971,640,78786.44425010681
971,630,76463.1998488903
971,634,76305.38181686401
969,628,76176.51384139061
971,647,81192.46190476418
969,643,80007.76664066315
971,641,79260.70392727852
969,634,76344.55452299118
971,631,76480.94731259346
969,633,76814.00809025764
971,640,78613.4596426487
971,630,75474.8584883213
971,631,76896.63122487068
969,640,79252.5038330555
971,635,76467.6284263134
971,640,79170.68783283234
971,638,78081.11366987228
971,640,79003.47524118423
971,635,78244.80887532234
971,630,76787.16031098366
971,641,78455.86986970901
971,633,77244.18125224113
969,629,73970.06644439697
967,628,75297.05971598625
969,640,77760.22960066795
971,635,77604.69075512886
969,635,77681.73972082138
971,645,80003.34494996071
971,635,78035.91104483604
971,639,78922.61392307281
969,630,76332.6565041542
971,634,77271.98354673386
969,634,76184.8345785141
971,637,77960.63649439812
967,635,77000.68707489967
971,643,79697.46599316597
969,643,79814.19581723213
971,636,77753.22251749039
971,645,80852.04791140556
971,641,80548.04532957077
971,643,80248.24289393425
967,638,77039.52917933464
971,643,79275.8483672142
969,638,78643.36505150795
969,642,79357.80511760712
969,638,78428.04442310333
971,640,79805.78156781197
971,639,79220.33492302895
971,638,78919.95769786835
971,633,77108.0028603077
971,642,79575.12681007385
969,632,76281.76428842545
969,637,77409.10471558571
971,642,80012.64550328255
971,635,77601.99156546593
971,637,78263.02262449265
971,631,76718.837403059
971,639,78277.17857480049
969,630,75170.20138335228
971,644,80316.25748896599
967,638,78275.08745121956
969,638,65114.81454205513
971,641,64458.550839185715
971,641,64997.21737456322
969,638,63986.40412354469
