before_T_count,tket_after_T_count,tket_time,pyzx_after_T_count,pyzx_time,tmerge_after_T_count,tmerge_time
969,969,2.2593865394592285,969,62.79686212539673,969,0.6308486461639404
971,971,2.294647455215454,971,48.76000785827637,971,0.3590834140777588
969,969,2.2772579193115234,969,64.36972451210022,969,0.3613612651824951
971,971,2.6545145511627197,971,79.88799667358398,971,0.522430419921875
967,967,2.2483532428741455,967,55.19656252861023,967,0.6395263671875
971,971,2.311957359313965,971,53.3563666343689,971,0.81607985496521
971,971,2.2986998558044434,971,74.90077638626099,971,0.6015467643737793
969,969,2.3189427852630615,969,49.882590532302856,969,0.5750441551208496
971,971,2.4131414890289307,971,57.41158175468445,971,0.7917320728302002
971,971,2.3028950691223145,971,66.71972131729126,971,0.8063490390777588
969,969,2.3355185985565186,969,55.305354595184326,969,0.7488198280334473
971,971,2.296701431274414,971,72.48518705368042,971,0.5078980922698975
971,971,2.242384433746338,971,69.44388151168823,971,0.5063936710357666
969,969,2.2886037826538086,969,49.684524059295654,969,0.5619604587554932
971,971,2.2597460746765137,971,60.639586210250854,971,0.6862761974334717
971,971,2.285151243209839,971,73.3455138206482,971,0.4183230400085449
967,967,2.2561442852020264,967,74.93255186080933,967,0.7528963088989258
971,971,2.261305809020996,971,58.968958616256714,971,0.5498318672180176
971,971,2.2349045276641846,971,71.02953600883484,971,0.5567998886108398
971,971,2.2780356407165527,971,62.93313670158386,971,0.8837926387786865
971,971,2.4026925563812256,971,56.611034870147705,971,0.5192215442657471
971,971,2.247002601623535,971,67.29844641685486,971,0.5794401168823242
967,967,2.1801321506500244,967,43.33488321304321,967,0.7905139923095703
969,969,2.1978518962860107,969,64.74764251708984,969,0.4138367176055908
969,969,2.2727761268615723,969,69.14642786979675,969,0.6437749862670898
971,971,2.2624382972717285,971,46.245511531829834,971,0.6990854740142822
969,969,2.283130407333374,969,56.88911581039429,969,0.7663078308105469
971,971,2.314244270324707,971,44.37029027938843,971,0.6248376369476318
969,969,2.3059682846069336,969,52.55213642120361,969,0.7736008167266846
971,971,2.261369228363037,971,58.82839393615723,971,0.5210065841674805
969,969,2.2706384658813477,969,72.52952289581299,969,0.8054745197296143
971,971,2.2661874294281006,971,61.270479917526245,971,0.7854456901550293
969,969,2.2816882133483887,969,57.56094837188721,969,0.810340166091919
971,971,2.2543139457702637,971,60.27058410644531,971,0.693225622177124
969,969,2.3248424530029297,969,56.9156551361084,969,0.6623196601867676
971,971,2.2947776317596436,971,57.27757000923157,971,0.7709815502166748
971,971,2.2625460624694824,971,50.61785864830017,971,0.7397730350494385
971,971,2.264972448348999,971,58.9331271648407,971,0.66949462890625
969,969,2.3058009147644043,969,49.261651039123535,969,0.7506718635559082
971,971,2.2370355129241943,971,48.908259868621826,971,0.7922887802124023
969,969,2.2238082885742188,969,74.50766396522522,969,0.6139590740203857
971,971,2.2590341567993164,971,46.00434875488281,971,0.7330589294433594
969,969,2.258021116256714,969,57.21591329574585,969,0.7569918632507324
971,971,2.2710654735565186,971,65.07915830612183,971,0.7948923110961914
969,969,2.265099048614502,969,48.14809274673462,969,0.7502384185791016
971,971,2.256453514099121,971,74.82145619392395,971,0.7869281768798828
971,971,2.2886857986450195,971,62.39945602416992,971,0.7634613513946533
971,971,2.276569128036499,971,55.92230534553528,971,0.7749481201171875
969,969,2.2320730686187744,969,54.72824454307556,969,0.7513957023620605
971,971,2.2935948371887207,971,51.70791172981262,971,0.7767283916473389
971,971,2.2657809257507324,971,58.85693025588989,971,0.7234148979187012
971,971,2.2343246936798096,971,58.14916777610779,971,0.692363977432251
971,971,2.280531406402588,971,56.7054226398468,971,0.7629938125610352
971,971,2.3103444576263428,971,55.6033992767334,971,0.787914514541626
971,971,2.290616989135742,971,69.91090083122253,971,0.7430000305175781
971,971,2.2481069564819336,971,58.08986043930054,971,0.7779054641723633
971,971,2.3003695011138916,971,60.867618799209595,971,0.785426139831543
969,969,2.223426103591919,969,60.6301589012146,969,0.7563984394073486
967,967,2.2597832679748535,967,68.95894360542297,967,0.771582841873169
969,969,2.209453821182251,969,53.147547245025635,969,0.628061056137085
971,971,2.3237760066986084,971,76.08569431304932,971,0.7784304618835449
969,969,2.2892518043518066,969,56.66634726524353,969,0.7879519462585449
971,971,2.2832837104797363,971,55.17279124259949,971,0.7671384811401367
971,971,2.30676007270813,971,57.52115821838379,971,0.7566006183624268
971,971,2.2763519287109375,971,57.212196588516235,971,0.7545812129974365
969,969,2.193974256515503,969,67.72041511535645,969,0.772613525390625
971,971,2.277453899383545,971,54.451749086380005,971,0.7555334568023682
969,969,2.254500150680542,969,51.00952696800232,969,0.7564456462860107
971,971,2.3162786960601807,971,57.73070240020752,971,0.8656675815582275
967,967,2.1767454147338867,967,70.18526458740234,967,0.7815508842468262
971,971,2.28973126411438,971,84.5419602394104,971,0.7891638278961182
969,969,2.5271573066711426,969,60.981457471847534,969,0.7619664669036865
971,971,2.259992837905884,971,59.88645792007446,971,0.6191551685333252
971,971,2.2978429794311523,971,75.10360145568848,971,0.7786238193511963
971,971,2.296370267868042,971,63.12706923484802,971,0.7722022533416748
971,971,2.2916064262390137,971,60.31555676460266,971,0.6968498229980469
967,967,2.2977511882781982,967,74.77961540222168,967,0.7380180358886719
971,971,2.282637596130371,971,51.60083985328674,971,0.4879453182220459
969,969,2.2581560611724854,969,41.03337645530701,969,0.7740495204925537
969,969,2.2756001949310303,969,62.452826261520386,969,0.7673795223236084
969,969,2.2895891666412354,969,65.32172179222107,969,0.790395975112915
