fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
99,57,2.011460304260254
103,62,1.5119001865386963
81,53,1.0104176998138428
107,67,2.5092272758483887
103,63,2.010141611099243
69,45,1.0096580982208252
99,61,1.5084037780761719
87,56,1.509016513824463
107,64,2.008902072906494
91,56,2.0099215507507324
95,56,1.5085477828979492
75,47,1.0091075897216797
99,63,2.0091629028320312
103,63,1.509901523590088
101,62,2.009742259979248
99,62,2.0085721015930176
103,62,2.009557008743286
97,59,1.509181022644043
99,60,1.509638786315918
93,58,1.5088229179382324
105,67,2.0265400409698486
99,62,2.0094451904296875
79,51,1.508127212524414
105,63,2.008483648300171
103,61,1.5097324848175049
93,59,2.009915590286255
81,49,1.5083673000335693
105,61,2.0096421241760254
73,47,1.0083849430084229
95,57,1.5112359523773193
101,65,2.00895619392395
87,51,1.5093059539794922
101,61,2.0083327293395996
91,57,1.0089354515075684
99,65,2.0117130279541016
103,64,2.010883331298828
99,59,1.5104355812072754
105,66,2.512012004852295
95,57,2.010006904602051
85,56,1.5095717906951904
97,63,2.012026786804199
99,64,2.009775400161743
93,56,1.5115704536437988
101,63,2.00901460647583
81,49,1.0128848552703857
79,51,1.5128142833709717
93,61,2.009077787399292
89,53,1.5096545219421387
99,61,2.010240077972412
93,56,1.5118539333343506
99,61,2.0097672939300537
105,66,2.5119564533233643
97,61,2.009498357772827
91,56,1.5090768337249756
95,60,1.5098142623901367
93,54,2.0235893726348877
87,56,1.5135347843170166
107,64,2.0103073120117188
97,57,1.0100619792938232
97,59,2.012422561645508
95,57,1.5134570598602295
73,46,1.5112216472625732
81,51,2.013065814971924
95,54,2.0115292072296143
97,61,2.01300311088562
91,59,2.512702703475952
95,58,1.5120363235473633
107,65,2.012127161026001
95,56,1.0114655494689941
91,56,1.5130908489227295
97,59,2.5126941204071045
95,59,2.0113890171051025
99,62,2.0102429389953613
97,59,2.010504722595215
97,60,2.0128092765808105
105,62,2.0165796279907227
81,55,1.0095741748809814
91,58,1.5106830596923828
95,59,2.010838747024536
105,66,2.0170772075653076
81,52,1.5121724605560303
105,63,2.0121726989746094
107,66,2.5101115703582764
107,64,2.5108249187469482
103,64,2.0101070404052734
97,64,2.00999116897583
89,51,1.0117897987365723
95,58,1.5096380710601807
89,56,1.510535717010498
95,61,2.0103325843811035
107,65,2.0122320652008057
85,51,1.5118348598480225
85,54,1.5100383758544922
89,59,2.5116684436798096
91,57,2.0109641551971436
97,60,2.0112907886505127
105,61,1.511559009552002
107,70,2.010239601135254
89,55,1.0092651844024658
79,46,0.5081968307495117
