fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
297,190,208.01811170578003
295,187,196.49320268630981
299,188,204.96939373016357
299,191,215.01229572296143
289,191,371.1383192539215
299,194,222.51920747756958
299,193,219.4956727027893
295,190,205.10904455184937
299,197,229.6594910621643
295,189,204.46423363685608
299,194,220.95703864097595
295,196,221.4689655303955
299,192,215.47307753562927
299,194,223.52183365821838
299,192,216.09068083763123
299,191,212.9308021068573
289,184,180.96595311164856
295,183,187.06590819358826
293,183,183.570645570755
283,185,175.95436215400696
293,185,190.074285030365
299,189,208.00114250183105
295,185,195.57911801338196
299,184,194.47221064567566
293,184,184.95328450202942
297,190,209.4564723968506
297,195,221.50511813163757
297,188,204.03425431251526
299,194,222.10881304740906
291,186,201.47851037979126
291,185,186.46944522857666
299,189,211.03563785552979
291,185,186.90829467773438
295,186,196.52850890159607
291,188,194.96479058265686
299,185,197.91249775886536
289,182,177.4770667552948
297,197,229.0376205444336
299,192,216.4735016822815
299,197,230.49071192741394
299,188,204.9748351573944
293,190,204.4594566822052
299,190,210.46571135520935
299,190,210.96816492080688
297,186,196.47455072402954
299,189,207.4805793762207
299,188,204.51846528053284
291,182,179.41989707946777
299,191,214.44660687446594
295,187,197.9418396949768
299,193,219.96984100341797
297,192,214.0842146873474
297,188,202.95640540122986
299,194,221.50495767593384
299,194,222.00990915298462
299,190,209.20936250686646
297,189,205.9870982170105
297,194,220.44596147537231
293,186,190.95309376716614
299,188,204.1014106273651
299,193,223.44527053833008
289,189,194.45103430747986
299,191,214.4198772907257
299,188,204.0846917629242
293,183,188.43550372123718
291,183,180.97357988357544
297,190,208.46312069892883
299,185,196.9867660999298
297,191,210.94746780395508
297,194,218.95746159553528
299,190,210.99437355995178
297,189,205.4272336959839
299,198,232.97897720336914
297,190,209.50317978858948
297,189,206.48653936386108
297,188,203.03224277496338
299,194,221.46222019195557
299,191,212.47489738464355
277,177,149.87603092193604
299,195,229.54641127586365
299,191,212.97898650169373
265,161,108.23764514923096
299,191,214.5389289855957
299,188,203.97870922088623
299,190,209.49678373336792
295,186,193.99265050888062
299,190,210.98943758010864
293,185,190.00398063659668
299,195,226.46217727661133
297,191,209.9018406867981
295,188,200.4480459690094
299,191,215.13994598388672
299,186,200.47029900550842
299,194,227.5614902973175
285,177,300.0420138835907
297,191,223.4292356967926
299,189,189.79785013198853
299,188,181.25110006332397
287,176,135.10517978668213
287,187,158.60727334022522
