fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
429,280,1330.1647806167603
429,281,1335.6572968959808
431,281,1355.4370086193085
431,277,1326.2896058559418
431,274,1264.8184461593628
431,277,1302.3654940128326
431,281,1345.3960101604462
429,274,1281.4564921855927
431,280,1340.42990732193
431,275,1279.3886578083038
431,286,1415.499606370926
429,272,1228.6862797737122
431,272,1227.1546792984009
431,285,1387.8651611804962
431,281,1371.5073463916779
431,284,1397.0002512931824
431,277,1300.845772266388
431,285,1404.3508455753326
427,280,1319.3784928321838
429,275,1268.0514340400696
429,283,1363.3110101222992
431,274,1263.5005178451538
431,279,1340.3686351776123
429,274,1275.1815657615662
431,280,1333.7580235004425
429,272,1236.2244067192078
431,276,1280.73015999794
429,285,1379.9548964500427
431,277,1307.6142194271088
431,283,1369.2322342395782
431,284,1385.2697567939758
431,281,1347.4353244304657
431,289,1451.7500388622284
429,278,1297.390667438507
421,274,1216.2660405635834
429,279,1312.8550386428833
431,287,1430.8791933059692
431,280,1342.8759369850159
431,279,1347.225888967514
431,274,1257.9221680164337
431,281,1348.4195981025696
431,277,1292.9980492591858
431,285,1395.3864452838898
431,281,1354.839109659195
429,280,1315.7245395183563
429,279,1312.035920381546
431,285,1402.9100952148438
431,276,1305.951312303543
431,276,1279.729710817337
419,270,1133.5330817699432
431,276,1301.3014283180237
429,274,1302.8169395923615
431,280,1342.951889514923
429,275,1255.8961293697357
431,278,1309.4622540473938
431,273,1261.4015243053436
431,276,1295.878987789154
431,280,1351.0481004714966
431,282,1365.0322842597961
431,283,1379.175611257553
429,277,1305.0108525753021
431,276,1285.6673471927643
427,274,1258.8148124217987
431,280,1338.851254940033
431,277,1298.4603278636932
427,274,1241.4050199985504
423,275,1227.4662239551544
431,281,1347.508272409439
421,275,1242.6655552387238
427,280,1315.2418584823608
431,279,1324.2963995933533
431,278,1321.1671540737152
431,277,1303.36936378479
431,279,1319.4487402439117
431,281,1342.2493977546692
423,274,1212.9040360450745
431,281,1343.3657715320587
431,277,1306.584622144699
431,286,1417.722687959671
431,276,1287.1949031352997
429,271,1214.6235618591309
429,277,1295.1785571575165
431,283,1372.710197687149
431,280,1335.1071298122406
427,277,1277.3582701683044
431,281,1348.1971275806427
431,288,1440.4683485031128
431,282,1385.0458047389984
431,277,1299.3664031028748
429,278,1303.3349709510803
427,279,1301.144427061081
429,277,1301.5345089435577
431,279,1321.6861410140991
431,280,1334.4393877983093
423,269,1152.0162844657898
427,278,1291.3445065021515
423,274,1049.7171745300293
431,277,1121.6894743442535
431,281,1117.5227353572845
431,278,1088.5415349006653
