fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
23,12,1.0049872398376465
27,16,0.504044771194458
37,19,1.0050914287567139
21,10,1.0042870044708252
47,26,0.5038623809814453
29,16,0.5039768218994141
31,17,0.5041406154632568
23,14,0.5038745403289795
27,16,0.5044264793395996
37,21,1.0042228698730469
27,17,1.0040502548217773
45,25,1.0039830207824707
25,15,1.004366397857666
17,9,0.5043096542358398
37,22,0.5041024684906006
37,21,0.503577709197998
41,22,0.503711462020874
37,20,0.5043022632598877
35,22,1.0041275024414062
31,17,1.0037152767181396
31,19,0.5041515827178955
39,23,0.503549337387085
39,23,1.004234790802002
23,13,0.5036826133728027
33,18,1.0043301582336426
37,22,1.0040502548217773
47,26,1.0039727687835693
35,19,1.0039737224578857
23,15,1.0037202835083008
25,15,1.0041654109954834
45,24,1.0042154788970947
35,19,0.5042901039123535
21,11,0.5041067600250244
29,16,0.5039856433868408
33,21,1.0049419403076172
27,18,1.004760503768921
39,22,1.0041148662567139
11,6,1.004127025604248
29,17,1.0037720203399658
43,24,1.0040483474731445
35,19,1.0044207572937012
35,18,0.5040969848632812
31,19,1.0040128231048584
39,23,1.0043354034423828
17,9,0.504183292388916
23,13,0.504157304763794
33,20,0.5035598278045654
37,23,1.004009485244751
23,13,1.0042130947113037
45,25,0.5046274662017822
39,23,0.5045371055603027
35,22,1.0050973892211914
31,20,0.5041637420654297
29,17,1.0051817893981934
29,16,1.004518747329712
39,23,1.0052082538604736
25,15,0.5043153762817383
33,19,0.5049293041229248
25,15,0.5048918724060059
45,26,0.5052247047424316
27,14,0.5052552223205566
27,14,1.005277156829834
29,17,1.0049448013305664
27,16,1.0065968036651611
15,7,1.0061662197113037
31,19,1.0064334869384766
15,11,1.0061986446380615
21,11,1.0060460567474365
35,21,1.0055022239685059
19,14,0.5051102638244629
29,19,1.0057709217071533
41,23,1.0057296752929688
29,16,0.5054659843444824
39,23,1.00565767288208
19,11,1.0060651302337646
25,15,0.5053112506866455
45,25,0.5054121017456055
13,9,1.005852222442627
47,28,1.0054314136505127
33,18,1.00559663772583
47,25,1.0056874752044678
17,12,1.005509853363037
47,26,1.0055396556854248
27,19,1.005239486694336
27,17,1.005373239517212
29,18,1.005786657333374
31,17,0.5053281784057617
39,23,1.0053563117980957
37,22,1.0057783126831055
29,18,0.5059092044830322
37,22,1.005185842514038
37,22,1.0056493282318115
39,22,0.5049896240234375
47,25,0.5054857730865479
25,15,0.5057425498962402
35,19,1.0057225227355957
29,16,0.50382399559021
31,18,0.5036067962646484
19,12,0.5038707256317139
33,18,0.5041680335998535
