fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
179,109,17.548999309539795
183,116,21.549482583999634
191,124,26.550785303115845
191,117,23.55846858024597
189,119,23.197688102722168
187,121,24.559613943099976
185,118,21.557051420211792
189,117,22.56577157974243
185,120,23.073867797851562
191,114,21.565829277038574
177,112,18.06427788734436
189,115,22.067864656448364
183,108,17.576952934265137
181,116,20.566843032836914
189,119,23.057645320892334
183,116,20.56386089324951
183,111,19.063491106033325
191,121,24.064348459243774
189,121,24.579911708831787
191,122,25.565358638763428
175,113,17.550764560699463
175,114,19.064449310302734
191,124,26.554385662078857
187,119,23.06330108642578
183,119,22.555537223815918
183,114,20.05379056930542
191,122,25.065943241119385
179,113,18.66960859298706
187,115,20.562029361724854
183,117,21.776262760162354
185,123,24.562731504440308
191,121,24.55871295928955
183,119,22.060519695281982
189,111,19.6758451461792
191,117,22.669506311416626
183,123,24.568783283233643
179,108,17.06221914291382
191,119,23.563400268554688
191,123,26.061583280563354
185,112,19.57322406768799
179,119,21.075359106063843
189,121,24.555203914642334
191,119,24.059170246124268
181,113,19.550823211669922
189,122,25.0599308013916
177,110,17.074072122573853
191,120,24.106240034103394
185,119,23.073237657546997
189,122,25.062132835388184
167,107,14.056415319442749
183,116,21.065258741378784
191,121,25.07862663269043
183,109,18.07034158706665
175,102,26.565505027770996
175,116,19.555452346801758
189,117,41.08980703353882
187,120,23.076154708862305
175,107,15.063927412033081
171,108,17.05351948738098
183,119,22.560985565185547
181,114,19.571865558624268
181,117,38.05999302864075
175,111,17.04574680328369
191,124,26.558377265930176
191,119,24.057771921157837
185,119,22.06874680519104
173,111,17.065301179885864
187,119,23.056381464004517
185,121,23.555065631866455
191,120,24.557676553726196
183,116,20.55576729774475
191,118,23.570019483566284
183,115,20.55253267288208
177,110,17.05158829689026
183,118,21.59946370124817
169,112,16.571830987930298
181,117,21.067740201950073
183,116,20.5521183013916
181,111,18.561926126480103
181,111,18.078166723251343
189,115,21.5667245388031
183,120,22.57799458503723
191,121,25.10631799697876
189,115,21.563852548599243
179,109,17.050536394119263
179,117,20.601952075958252
183,111,18.570675134658813
189,118,23.059171676635742
189,117,22.562436819076538
183,112,18.56329107284546
187,113,22.552600383758545
183,117,21.05641460418701
181,112,19.10183835029602
173,106,15.059340238571167
187,117,22.072892427444458
187,119,23.067627906799316
191,121,22.054851770401
191,121,21.54460620880127
187,120,20.542471170425415
185,112,17.032962560653687
