fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
649,461,13236.984308719635
649,460,13049.78273677826
649,464,13406.526602268219
649,465,13592.830718755722
649,463,13253.135285615921
649,464,13408.985104084015
649,462,13362.051587581635
649,460,13174.556466579437
649,462,13380.837248325348
649,467,13592.753044128418
649,471,13948.205165147781
649,458,13033.09738111496
649,455,12643.259066343307
649,468,13797.32790517807
649,463,13326.33405661583
649,464,13508.542088031769
649,453,12585.191980361938
649,467,13710.027890920639
649,454,12594.731978178024
649,467,13675.280503034592
649,453,12546.992968320847
649,464,13342.541124105453
649,460,13127.994069814682
649,463,13338.227474212646
649,463,13380.0463616848
649,464,13390.398195266724
649,461,13121.16038942337
649,471,14013.906175374985
649,454,12701.476001024246
649,456,12888.238369941711
649,462,13311.94489645958
649,463,13336.93401503563
649,466,13576.390970945358
649,461,13181.070548057556
649,466,13565.398290634155
649,461,13254.829430103302
649,462,13304.027747631073
649,465,13512.545233011246
649,461,13288.648338317871
649,458,12928.18694782257
649,458,13020.729459285736
649,462,13287.460052013397
649,467,13700.681492567062
649,465,13541.35047531128
649,463,13411.956189393997
649,457,12958.573285579681
649,465,13470.775968313217
649,459,13016.622169971466
649,459,13018.9213514328
649,463,13407.52007818222
649,464,13404.178761005402
649,458,12981.999752044678
649,453,12480.616667747498
649,462,13343.021787166595
649,457,12903.511360883713
649,458,13027.308326721191
649,457,12906.351660728455
649,463,13431.1184258461
649,457,12948.911656856537
649,461,13293.750434160233
649,459,13154.570276975632
649,456,12807.992352962494
649,460,13178.584232330322
649,463,13362.536898136139
649,461,13255.106606960297
649,456,12812.69390130043
649,448,12272.666208982468
649,467,13688.880030632019
649,469,13818.797246217728
649,465,13518.714425086975
649,455,12834.010022878647
649,462,13261.621562719345
649,457,12817.080407381058
649,458,12886.543762922287
649,469,13859.102865219116
649,458,13055.935989141464
649,464,13371.143362045288
649,457,12841.866515159607
649,455,12641.910192489624
649,458,13015.66128563881
649,460,13125.710668802261
649,458,13010.178317308426
649,461,13096.946561336517
649,462,13256.97698688507
649,459,13142.250049352646
649,459,13150.557812452316
649,464,13428.021594047546
649,458,12889.103477954865
649,458,12992.512380838394
649,464,13364.663364648819
649,452,12509.35370349884
649,462,13347.796233177185
649,467,13726.647688388824
649,467,13629.945369243622
649,465,13467.240339756012
649,467,13614.65725326538
649,456,11982.237381458282
649,463,12324.561797618866
649,465,12439.868020772934
649,464,12561.179684877396
