before_T_count,tket_after_T_count,tket_time,pyzx_after_T_count,pyzx_time,tmerge_after_T_count,tmerge_time
393,393,0.6888585090637207,393,7.731034994125366,393,0.08758831024169922
393,393,0.762991189956665,393,8.315349817276001,393,0.1617128849029541
393,393,0.6665585041046143,393,4.602229118347168,393,0.16515755653381348
393,393,0.6876294612884521,393,5.670313358306885,393,0.10509920120239258
393,393,0.6550931930541992,393,5.475067377090454,393,0.08237576484680176
393,393,0.7448160648345947,393,4.582618474960327,393,0.08852338790893555
393,393,0.6660056114196777,393,4.026485919952393,393,0.15229511260986328
393,393,0.6778054237365723,393,5.817944049835205,393,0.08290266990661621
393,393,0.6699178218841553,393,5.813507318496704,393,0.0820608139038086
393,393,0.7521469593048096,393,6.458678960800171,393,0.1715257167816162
393,393,0.6789603233337402,393,5.69964599609375,393,0.1912822723388672
393,393,0.7231934070587158,393,6.648888349533081,393,0.11589789390563965
393,393,0.6998956203460693,393,7.8012919425964355,393,0.10444211959838867
393,393,0.6454544067382812,393,6.92626428604126,393,0.13824939727783203
393,393,0.6831202507019043,393,5.762601613998413,393,0.10428237915039062
393,393,0.6770229339599609,393,5.690680265426636,393,0.1327836513519287
393,393,0.6817715167999268,393,6.554863691329956,393,0.08466482162475586
393,393,0.6759238243103027,393,6.046554803848267,393,0.08984017372131348
393,393,0.6616067886352539,393,5.62494421005249,393,0.10678815841674805
393,393,0.6733107566833496,393,7.966261386871338,393,0.19729375839233398
393,393,0.6855173110961914,393,5.63349461555481,393,0.09452366828918457
393,393,0.6391634941101074,393,5.430854320526123,393,0.10254549980163574
393,393,0.6729717254638672,393,5.564340353012085,393,0.08035778999328613
393,393,0.6797454357147217,393,7.1957786083221436,393,0.1554429531097412
393,393,0.7000772953033447,393,7.682892560958862,393,0.13588690757751465
393,393,0.6696860790252686,393,9.29381012916565,393,0.08898162841796875
393,393,0.6931869983673096,393,6.229381322860718,393,0.08409404754638672
393,393,0.6628973484039307,393,8.317507266998291,393,0.11976313591003418
393,393,0.6840741634368896,393,6.657485723495483,393,0.08702921867370605
393,393,0.663823127746582,393,5.184279680252075,393,0.10384321212768555
393,393,0.6707959175109863,393,6.868136167526245,393,0.12185287475585938
393,393,0.6667912006378174,393,6.667304039001465,393,0.08546638488769531
393,393,0.6693592071533203,393,6.1140148639678955,393,0.08386826515197754
393,393,0.6614558696746826,393,3.9926724433898926,393,0.10238003730773926
393,393,0.756350040435791,393,8.253119468688965,393,0.0846092700958252
393,393,0.6677141189575195,393,7.713719844818115,393,0.16999125480651855
393,393,0.826218843460083,393,7.40776252746582,393,0.13158249855041504
393,393,0.6691832542419434,393,6.3404221534729,393,0.11040806770324707
393,393,0.7021408081054688,393,5.923357248306274,393,0.11373400688171387
393,393,0.6848189830780029,393,6.281269311904907,393,0.09331536293029785
393,393,0.6748518943786621,393,6.3919525146484375,393,0.14209318161010742
393,393,0.7111568450927734,393,6.539760589599609,393,0.08528494834899902
