fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
73,49,1.0053739547729492
73,47,1.0059723854064941
73,45,1.0048949718475342
73,44,1.0047476291656494
73,49,1.005462884902954
73,49,1.0053765773773193
73,48,1.0050885677337646
73,48,1.005575180053711
73,45,1.5060036182403564
73,50,1.5057942867279053
73,50,1.0053482055664062
73,48,1.505309820175171
73,46,1.0052316188812256
73,46,0.5058579444885254
73,47,1.5054333209991455
73,48,1.004894733428955
73,45,1.5053315162658691
73,48,1.005422592163086
73,48,1.5060553550720215
73,47,1.0050361156463623
73,46,1.0053541660308838
73,44,1.5048253536224365
73,47,1.0053596496582031
73,47,1.0053012371063232
73,47,1.005281686782837
73,47,1.5057902336120605
73,50,1.5064427852630615
73,51,1.0052824020385742
73,45,1.0053181648254395
73,47,1.0060067176818848
73,50,1.5065078735351562
73,49,1.005516529083252
73,51,1.5061109066009521
73,42,1.5061240196228027
73,49,1.0057318210601807
73,48,1.0059401988983154
73,44,1.0050296783447266
73,47,1.0059235095977783
73,47,1.004943609237671
73,49,1.0058445930480957
73,49,1.0055136680603027
73,46,1.5061523914337158
73,50,1.0056321620941162
73,48,1.0057175159454346
73,46,1.0060360431671143
73,45,1.005431890487671
73,50,1.505878210067749
73,48,1.5051395893096924
73,49,1.0100789070129395
73,47,1.505326271057129
73,48,1.0087525844573975
73,48,1.5190956592559814
73,44,1.0060458183288574
73,43,1.0061366558074951
73,46,1.0238595008850098
73,44,1.505744218826294
73,46,1.005096673965454
73,47,1.017780065536499
73,48,1.5178437232971191
73,45,1.0277099609375
73,46,1.517679214477539
73,50,1.5055930614471436
73,44,1.016193151473999
73,48,1.50624418258667
73,52,1.006453514099121
73,48,1.0070617198944092
73,50,1.005082130432129
73,47,1.5050232410430908
73,46,1.506035327911377
73,51,1.5078887939453125
73,49,1.506629228591919
73,47,1.006171703338623
73,50,1.5055036544799805
73,46,1.006871223449707
73,48,1.5063538551330566
73,47,1.5055656433105469
73,49,1.505671501159668
73,46,1.513167381286621
73,47,1.5144104957580566
73,46,1.014275074005127
73,47,1.029388189315796
73,49,1.5246052742004395
73,48,1.0174846649169922
73,44,1.0127453804016113
73,46,1.0059947967529297
73,46,1.006051778793335
73,49,1.0110502243041992
73,49,1.0323657989501953
73,49,1.0466783046722412
73,49,1.5068392753601074
73,49,1.0057592391967773
73,48,1.0062410831451416
73,47,1.5074636936187744
73,51,1.0056025981903076
73,49,1.0056581497192383
73,49,1.0062170028686523
73,45,0.505551815032959
73,46,0.5050826072692871
73,46,0.5045416355133057
73,46,0.505277156829834
