fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
129,87,5.031484603881836
129,86,5.018555641174316
129,88,6.023744106292725
129,90,6.0235490798950195
129,88,6.019774913787842
129,86,5.519821405410767
129,85,5.021413564682007
129,87,5.599056243896484
129,84,4.518229961395264
129,86,5.518743515014648
129,88,5.542113780975342
129,87,5.553961753845215
129,84,5.530050992965698
129,84,5.019009828567505
129,83,4.521984815597534
129,80,4.517998456954956
129,85,5.022589683532715
129,84,5.028467893600464
129,89,5.641351699829102
129,90,5.573837995529175
129,89,5.738814830780029
129,90,5.736863851547241
129,85,5.52815318107605
129,89,6.018297910690308
129,89,6.019338846206665
129,88,6.024317026138306
129,88,5.526934385299683
129,88,5.7064290046691895
129,90,6.033257722854614
129,88,6.018918514251709
129,90,6.025240182876587
129,88,6.031869649887085
129,90,6.037803411483765
129,84,5.528467178344727
129,89,6.030343055725098
129,89,6.025078773498535
129,89,6.029016733169556
129,83,5.0253753662109375
129,87,5.718588829040527
129,87,5.648561000823975
129,85,5.524940013885498
129,89,5.748873949050903
129,89,5.699883699417114
129,86,5.546847343444824
129,82,5.038306474685669
129,88,5.627633571624756
129,87,5.528238296508789
129,87,5.544515132904053
129,86,5.534278869628906
129,80,4.524773359298706
129,90,6.0260679721832275
129,88,6.060771942138672
129,86,5.6001763343811035
129,92,6.054594278335571
129,86,5.537257432937622
129,87,5.533987760543823
129,90,6.055208683013916
129,87,5.6288979053497314
129,86,5.581156015396118
129,89,5.544202089309692
129,89,6.01978063583374
129,86,5.531638860702515
129,88,6.044344902038574
129,89,5.751877307891846
129,89,6.041743040084839
129,85,5.046565294265747
129,86,5.531508445739746
129,84,5.589308261871338
129,85,5.031890869140625
129,87,5.681909084320068
129,87,5.747400283813477
129,87,5.040040731430054
129,87,5.53141975402832
129,92,6.537776470184326
129,84,5.029554128646851
129,92,6.0302534103393555
129,86,5.536343574523926
129,89,5.53898286819458
129,87,6.038719415664673
129,88,5.530795574188232
129,86,5.530736207962036
129,90,5.629016160964966
129,84,5.030357360839844
129,89,6.0397069454193115
129,86,5.712873697280884
129,85,5.537135124206543
129,78,4.52842903137207
129,91,6.074275732040405
129,86,5.5300133228302
129,85,5.06412672996521
129,87,5.573117256164551
129,88,5.541235685348511
129,93,6.042001724243164
129,87,5.53822660446167
129,85,5.526002883911133
129,89,5.752481937408447
129,85,4.016841411590576
129,90,4.513432025909424
129,87,4.51814341545105
129,88,4.512076377868652
