fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
513,366,4408.7940237522125
513,372,4650.674356222153
513,366,4414.506078958511
513,366,4484.651338815689
513,367,4467.957043886185
513,360,4146.719643115997
513,361,4186.856373786926
513,371,4533.527143478394
513,360,4257.567220687866
513,364,4273.925605535507
513,369,4494.601599931717
513,366,4496.293193101883
513,362,4427.160895824432
513,365,4432.5861649513245
513,363,4246.199403524399
513,357,4260.3410115242
513,369,4465.00899887085
513,357,4247.687041044235
513,366,4458.901650905609
513,364,4388.711604595184
513,361,4199.614350318909
513,364,4383.8033945560455
513,364,4277.980841159821
513,368,4446.297360420227
513,364,4385.956132888794
513,356,4185.876343250275
513,367,4617.354754924774
513,367,4459.738474845886
513,361,4316.766403675079
513,359,4222.3500871658325
513,368,4651.4788110256195
513,369,4498.014876365662
513,364,4430.935376405716
513,368,4597.903497219086
513,360,4275.115752220154
513,365,4326.577500343323
513,365,4418.8085396289825
513,362,4347.626869678497
513,363,4329.3199734687805
513,375,4739.747562646866
513,362,4314.160734176636
513,358,4163.008632659912
513,365,4316.8473443984985
513,367,4463.812216520309
513,361,4221.134749174118
513,371,4641.453853607178
513,367,4491.307061672211
513,371,4574.698451757431
513,362,4259.8590614795685
513,371,4613.64461016655
513,358,4169.251714706421
513,364,4418.098751068115
513,359,4293.713218927383
513,362,4311.113503932953
513,359,4160.922266483307
513,364,4372.145047187805
513,360,4412.831442594528
513,367,4425.603561639786
513,368,4403.869414806366
513,362,4336.940335988998
513,367,4463.063480854034
513,360,4197.12216591835
513,363,4302.255960702896
513,371,4659.210071325302
513,365,4394.713637113571
513,363,4359.491632461548
513,362,4340.638383388519
513,361,4268.735355138779
513,361,4290.431208848953
513,363,4367.806212425232
513,363,4313.129544258118
513,370,4487.56867313385
513,362,4304.057980537415
513,365,4351.64300942421
513,363,4297.8523235321045
513,369,4442.092528104782
513,370,4561.533779382706
513,367,4389.14101433754
513,368,4462.079915761948
513,367,4576.394690036774
513,362,4202.299623250961
513,371,4638.77273273468
513,359,4354.576889038086
513,366,4407.083954811096
513,367,4548.51495051384
513,360,4309.495444774628
513,363,4499.116103410721
513,354,3941.559892654419
513,362,4258.805023431778
513,360,4288.32620215416
513,366,4459.622552394867
513,360,4300.066326379776
513,356,4099.538226366043
513,360,4290.86051607132
513,364,4345.879413604736
513,361,4245.262382984161
513,364,3648.3445744514465
513,364,3590.6135272979736
513,358,3418.7221026420593
513,365,3547.95298910141
